date,Region,iva_corrected,predicted
2020-03-16,Region Västernorrland,0.0,
2020-03-16,Region Västmanland,0.0,
2020-03-16,Region Örebro län,0.0,
2020-03-16,Region Östergötland,1.0,
2020-03-16,Västra Götalandsregionen,2.0,
2020-03-17,Region Blekinge,0.0,
2020-03-17,Region Dalarna,0.0,
2020-03-17,Region Gotland,0.0,
2020-03-17,Region Gävleborg,0.0,
2020-03-17,Region Halland,0.0,
2020-03-17,Region Jämtland Härjedalen,0.0,
2020-03-17,Region Jönköpings län,1.0,
2020-03-17,Region Kalmar län,0.0,
2020-03-17,Region Kronoberg,0.0,
2020-03-17,Region Norrbotten,0.0,
2020-03-17,Region Skåne,5.0,
2020-03-17,Region Stockholm,14.0,
2020-03-17,Region Sörmland,2.0,
2020-03-17,Region Uppsala,1.0,
2020-03-17,Region Värmland,2.0,
2020-03-17,Region Västerbotten,0.0,
2020-03-17,Region Västernorrland,0.0,
2020-03-17,Region Västmanland,0.0,
2020-03-17,Region Örebro län,0.0,
2020-03-17,Region Östergötland,1.0,
2020-03-17,Västra Götalandsregionen,2.0,
2020-03-18,Region Blekinge,0.0,
2020-03-18,Region Dalarna,1.0,
2020-03-18,Region Gotland,0.0,
2020-03-18,Region Gävleborg,0.0,
2020-03-18,Region Halland,0.0,
2020-03-18,Region Jämtland Härjedalen,0.0,
2020-03-18,Region Jönköpings län,1.0,
2020-03-18,Region Kalmar län,0.0,
2020-03-18,Region Kronoberg,0.0,
2020-03-18,Region Norrbotten,0.0,
2020-03-18,Region Skåne,5.0,
2020-03-18,Region Stockholm,20.0,
2020-03-18,Region Sörmland,2.0,
2020-03-18,Region Uppsala,2.0,
2020-03-18,Region Värmland,2.0,
2020-03-18,Region Västerbotten,1.0,
2020-03-18,Region Västernorrland,0.0,
2020-03-18,Region Västmanland,0.0,
2020-03-18,Region Örebro län,0.0,
2020-03-18,Region Östergötland,2.0,
2020-03-18,Västra Götalandsregionen,5.0,
2020-03-19,Region Blekinge,0.0,
2020-03-19,Region Dalarna,1.0,
2020-03-19,Region Gotland,0.0,
2020-03-19,Region Gävleborg,0.0,
2020-03-19,Region Halland,1.0,
2020-03-19,Region Jämtland Härjedalen,0.0,
2020-03-19,Region Jönköpings län,1.0,
2020-03-19,Region Kalmar län,0.0,
2020-03-19,Region Kronoberg,0.0,
2020-03-19,Region Norrbotten,0.0,
2020-03-19,Region Skåne,6.0,
2020-03-19,Region Stockholm,23.0,
2020-03-19,Region Sörmland,2.0,
2020-03-19,Region Uppsala,2.0,
2020-03-19,Region Värmland,2.0,
2020-03-19,Region Västerbotten,1.0,
2020-03-19,Region Västernorrland,0.0,
2020-03-19,Region Västmanland,0.0,
2020-03-19,Region Örebro län,0.0,
2020-03-19,Region Östergötland,3.0,
2020-03-19,Västra Götalandsregionen,7.0,
2020-03-20,Region Blekinge,0.0,
2020-03-20,Region Dalarna,1.0,
2020-03-20,Region Gotland,0.0,
2020-03-20,Region Gävleborg,0.0,
2020-03-20,Region Halland,1.0,
2020-03-20,Region Jämtland Härjedalen,0.0,
2020-03-20,Region Jönköpings län,1.0,
2020-03-20,Region Kalmar län,0.0,
2020-03-20,Region Kronoberg,0.0,
2020-03-20,Region Norrbotten,1.0,
2020-03-20,Region Skåne,7.0,
2020-03-20,Region Stockholm,33.0,
2020-03-20,Region Sörmland,4.0,
2020-03-20,Region Uppsala,2.0,
2020-03-20,Region Värmland,1.0,
2020-03-20,Region Västerbotten,1.0,
2020-03-20,Region Västernorrland,0.0,
2020-03-20,Region Västmanland,0.0,
2020-03-20,Region Örebro län,2.0,
2020-03-20,Region Östergötland,4.0,
2020-03-20,Västra Götalandsregionen,8.0,
2020-03-21,Region Blekinge,0.0,
2020-03-21,Region Dalarna,2.0,
2020-03-21,Region Gotland,0.0,
2020-03-21,Region Gävleborg,0.0,
2020-03-21,Region Halland,1.0,
2020-03-21,Region Jämtland Härjedalen,0.0,
2020-03-21,Region Jönköpings län,1.0,
2020-03-21,Region Kalmar län,0.0,
2020-03-21,Region Kronoberg,0.0,
2020-03-21,Region Norrbotten,2.0,
2020-03-21,Region Skåne,7.0,
2020-03-21,Region Stockholm,35.0,
2020-03-21,Region Sörmland,7.0,
2020-03-21,Region Uppsala,2.0,
2020-03-21,Region Värmland,1.0,
2020-03-21,Region Västerbotten,2.0,
2020-03-21,Region Västernorrland,0.0,
2020-03-21,Region Västmanland,0.0,
2020-03-21,Region Örebro län,2.0,
2020-03-21,Region Östergötland,5.0,
2020-03-21,Västra Götalandsregionen,11.0,
2020-03-22,Region Blekinge,0.0,
2020-03-22,Region Dalarna,2.0,
2020-03-22,Region Gotland,0.0,
2020-03-22,Region Gävleborg,1.0,
2020-03-22,Region Halland,2.0,
2020-03-22,Region Jämtland Härjedalen,0.0,
2020-03-22,Region Jönköpings län,1.0,
2020-03-22,Region Kalmar län,0.0,
2020-03-22,Region Kronoberg,0.0,
2020-03-22,Region Norrbotten,3.0,
